Time (sec), A2, A3, A4, A5, A6, A7, A8, A9, A10, A11, A12, A13, A14, A15, A16, B3, B4, B5, B6, B7, B8, B9, B10, B11, B12, B13, B14, B15, B16, C4, C5, C6, C7, C8, C9, C10, C11, C12, C13, C14, C15, C16, D5, D6, D7, D8, D9, D10, D11, D12, D13, D14, D15, D16, E6, E7, E8, E9, E10, E11, E12, E13, E14, E15, E16, F7, F8, F9, F10, F11, F12, F13, F14, F15, F16, G8, G9, G10, G11, G12, G13, G14, G15, G16, H9, H10, H11, H12, H13, H14, H15, H16, I10, I11, I12, I13, I14, I15, I16, J11, J12, J13, J14, J15, J16, K12, K13, K14, K15, K16, L13, L14, L15, L16, M14, M15, M16, N15, N16, O16
0.00, 103.05, 104.19, 101.89, 101.32, 99.36, 99.83, 97.45, 97.11, 96.86, 96.10, 95.47, 98.28, 94.56, 96.72, 92.99, 92.98, 94.88, 94.19, 92.62, 92.71, 95.13, 92.71, 92.66, 91.33, 90.44, 91.37, 91.26, 91.60, 92.29, 89.71, 92.46, 91.52, 90.57, 92.14, 89.87, 88.89, 89.53, 90.44, 89.27, 91.20, 90.32, 90.67, 86.92, 91.08, 88.69, 89.06, 87.48, 91.05, 89.72, 89.05, 89.17, 89.27, 88.87, 89.11, 89.60, 86.72, 95.96, 86.79, 87.69, 87.42, 88.10, 89.25, 91.47, 90.27, 88.54, 86.14, 88.13, 89.45, 88.65, 89.02, 88.87, 89.99, 89.88, 90.59, 87.24, 87.93, 88.61, 88.46, 92.92, 91.02, 91.76, 89.56, 89.88, 88.94, 87.32, 94.12, 87.89, 91.89, 89.78, 93.68, 87.80, 91.54, 90.21, 91.99, 87.74, 91.29, 86.48, 88.27, 94.02, 85.85, 90.09, 88.47, 88.54, 89.12, 94.36, 87.62, 88.19, 89.69, 87.32, 89.31, 84.21, 104.81, 96.52, 90.10, 84.81, 106.31, 87.96, 87.25, 88.60, 87.47
0.02, 103.32, 103.92, 101.97, 101.38, 99.22, 100.02, 97.64, 96.87, 97.20, 96.43, 95.58, 98.76, 95.23, 96.61, 93.10, 93.00, 94.64, 94.45, 93.02, 92.91, 95.13, 92.59, 92.60, 91.23, 90.96, 91.65, 91.51, 91.96, 92.47, 89.84, 92.37, 91.56, 90.61, 91.56, 90.16, 88.98, 89.35, 90.45, 89.42, 91.37, 89.47, 90.73, 86.79, 90.82, 88.69, 89.06, 86.84, 91.03, 89.57, 89.23, 88.75, 88.84, 89.07, 89.60, 89.25, 86.47, 96.29, 87.01, 87.65, 87.32, 88.22, 89.05, 92.23, 90.42, 88.76, 86.40, 87.96, 89.30, 88.22, 88.55, 88.99, 89.97, 89.60, 90.52, 86.76, 87.97, 88.90, 88.63, 92.84, 90.79, 91.64, 89.89, 89.88, 88.85, 87.68, 93.93, 87.77, 91.51, 90.02, 93.81, 87.52, 91.34, 90.21, 91.22, 87.82, 91.54, 86.55, 87.85, 94.36, 86.12, 89.46, 88.21, 89.26, 89.05, 94.78, 88.03, 87.99, 89.30, 87.42, 89.58, 84.60, 105.28, 97.29, 89.55, 84.95, 106.92, 87.35, 87.21, 88.34, 87.39
0.03, 103.81, 104.25, 101.94, 101.06, 99.46, 99.95, 97.78, 97.03, 97.97, 96.92, 95.85, 99.61, 95.52, 96.47, 93.03, 92.83, 94.12, 94.21, 93.25, 93.41, 94.79, 92.40, 92.30, 91.45, 92.29, 91.01, 91.65, 92.76, 92.84, 89.72, 92.42, 91.32, 91.40, 90.84, 90.31, 89.08, 89.54, 90.27, 89.16, 91.43, 89.76, 90.84, 86.93, 90.72, 89.04, 88.87, 87.02, 90.58, 89.68, 89.55, 88.78, 89.24, 88.55, 89.08, 88.84, 86.62, 96.42, 87.17, 87.58, 87.24, 88.06, 89.08, 92.49, 90.04, 89.14, 86.72, 87.38, 89.20, 88.29, 87.85, 88.88, 90.11, 89.21, 90.40, 87.07, 88.08, 88.96, 88.09, 92.28, 91.45, 91.08, 89.82, 89.73, 89.08, 88.01, 93.89, 88.07, 91.50, 90.36, 94.23, 87.68, 90.72, 90.34, 90.76, 88.23, 91.76, 86.60, 88.02, 94.28, 85.35, 88.57, 88.13, 88.88, 89.22, 94.70, 87.56, 88.12, 89.33, 87.17, 89.91, 84.60, 104.71, 97.34, 89.69, 84.95, 107.45, 87.34, 87.28, 88.42, 87.21
0.05, 103.66, 103.83, 102.03, 101.55, 99.56, 99.29, 97.97, 97.18, 98.09, 97.15, 95.55, 100.52, 95.35, 96.58, 93.14, 93.21, 94.27, 94.40, 92.56, 93.09, 94.36, 92.36, 92.24, 91.27, 90.49, 90.59, 91.49, 92.95, 92.78, 89.55, 92.52, 91.30, 91.20, 90.39, 90.26, 89.10, 89.85, 89.77, 89.17, 91.84, 89.63, 90.25, 86.67, 91.15, 89.42, 89.02, 86.61, 90.22, 90.05, 90.18, 88.58, 89.37, 88.56, 89.45, 89.05, 86.56, 96.70, 87.28, 87.32, 87.09, 88.13, 89.22, 91.82, 89.43, 89.36, 86.64, 86.63, 89.30, 88.65, 87.90, 88.69, 90.28, 89.07, 90.17, 86.93, 87.83, 89.08, 87.59, 92.06, 91.48, 91.14, 89.91, 89.89, 88.67, 87.68, 94.32, 88.31, 91.60, 90.21, 94.47, 87.21, 90.93, 90.34, 90.93, 88.31, 91.73, 87.12, 87.78, 94.05, 84.98, 88.23, 88.13, 88.94, 89.29, 94.51, 87.20, 88.03, 89.45, 87.08, 89.40, 84.24, 104.28, 97.58, 90.12, 84.98, 107.06, 87.56, 87.20, 88.27, 86.89
0.07, 103.10, 103.67, 102.15, 101.73, 99.89, 99.19, 97.50, 96.67, 97.30, 96.98, 95.83, 99.80, 94.93, 96.40, 92.84, 93.16, 94.37, 94.70, 92.08, 92.65, 94.18, 92.64, 92.03, 91.33, 90.16, 90.24, 91.28, 91.83, 92.56, 89.49, 92.46, 91.34, 90.64, 90.21, 89.43, 89.32, 90.33, 89.58, 89.74, 91.85, 89.12, 89.76, 86.65, 91.81, 89.62, 89.07, 86.74, 90.36, 90.13, 91.37, 88.60, 89.04, 88.52, 89.17, 89.34, 86.63, 96.89, 87.19, 87.39, 86.94, 88.21, 89.27, 91.11, 89.21, 89.41, 86.69, 86.22, 89.51, 88.49, 87.98, 88.13, 90.80, 89.06, 90.34, 86.48, 88.17, 88.59, 87.26, 92.24, 91.23, 90.96, 90.03, 89.89, 88.77, 87.52, 94.57, 88.48, 92.54, 90.43, 94.33, 87.39, 91.14, 90.53, 91.21, 88.11, 91.53, 86.80, 87.96, 93.78, 84.65, 88.02, 87.87, 89.02, 88.72, 93.91, 87.35, 87.77, 89.28, 87.47, 89.18, 84.37, 103.69, 98.20, 90.18, 84.94, 105.33, 87.77, 87.29, 88.72, 87.15
0.08, 103.15, 103.18, 102.25, 102.15, 99.70, 99.05, 97.57, 96.70, 96.89, 97.15, 95.70, 99.26, 94.90, 96.23, 92.91, 93.06, 94.33, 94.81, 91.80, 92.66, 94.53, 92.82, 91.83, 91.48, 89.78, 90.34, 90.88, 91.36, 92.96, 89.43, 93.14, 91.04, 90.37, 90.16, 89.52, 89.67, 90.32, 89.50, 89.32, 92.18, 88.51, 89.49, 86.63, 92.41, 89.40, 89.29, 86.77, 91.03, 90.11, 91.34, 88.85, 89.16, 88.45, 89.22, 89.34, 86.65, 97.35, 86.99, 87.43, 87.02, 88.15, 89.53, 90.93, 89.18, 89.49, 86.85, 85.85, 89.16, 87.81, 88.04, 87.71, 90.71, 89.15, 90.19, 86.44, 88.01, 88.52, 87.52, 91.82, 91.46, 90.28, 89.86, 90.24, 88.44, 87.34, 94.67, 88.19, 92.50, 90.33, 94.31, 87.77, 90.45, 90.29, 91.21, 88.23, 91.22, 86.51, 87.91, 94.61, 84.87, 88.67, 87.63, 89.05, 88.63, 94.10, 87.27, 87.61, 89.51, 87.51, 89.26, 84.08, 103.61, 99.19, 89.83, 85.53, 103.07, 88.43, 87.70, 88.92, 87.45
0.10, 103.14, 103.14, 102.23, 101.92, 99.75, 98.91, 97.82, 96.85, 96.81, 96.25, 96.11, 99.37, 94.81, 95.77, 93.06, 92.94, 94.65, 94.91, 92.06, 92.60, 94.38, 92.33, 91.81, 91.59, 89.62, 90.68, 90.82, 91.48, 93.10, 89.44, 92.64, 91.23, 90.24, 90.46, 89.45, 89.80, 90.67, 89.15, 89.66, 91.84, 88.50, 89.48, 86.69, 91.62, 89.09, 89.21, 86.60, 91.35, 90.45, 90.68, 88.77, 88.70, 88.45, 89.44, 89.38, 86.78, 97.17, 87.07, 87.89, 87.12, 88.32, 89.26, 91.03, 88.98, 89.42, 87.12, 85.99, 89.15, 87.81, 88.09, 88.05, 90.22, 89.75, 89.94, 86.49, 87.87, 88.26, 87.82, 91.68, 92.09, 89.96, 89.60, 90.63, 88.72, 86.95, 94.42, 88.29, 92.31, 90.36, 94.10, 88.02, 89.92, 90.16, 91.01, 88.22, 91.05, 86.40, 88.13, 95.19, 84.95, 88.97, 87.64, 88.84, 88.60, 94.02, 87.39, 87.32, 90.14, 87.35, 88.91, 84.63, 102.97, 99.61, 89.79, 85.83, 101.18, 88.84, 87.69, 88.70, 87.66
0.12, 103.46, 103.46, 102.16, 101.41, 99.62, 98.88, 97.98, 97.16, 96.66, 95.71, 96.01, 99.44, 94.08, 95.86, 93.28, 92.69, 94.79, 94.88, 92.39, 92.66, 94.07, 92.44, 92.05, 91.76, 89.57, 90.56, 90.34, 91.16, 93.83, 89.42, 92.56, 91.75, 90.14, 90.38, 89.57, 89.79, 90.72, 89.08, 89.04, 92.12, 88.11, 89.78, 86.51, 91.10, 88.84, 89.08, 86.72, 91.45, 89.80, 89.73, 88.65, 88.58, 88.22, 89.84, 89.26, 87.26, 96.91, 87.22, 88.07, 86.96, 87.90, 89.38, 90.76, 89.23, 89.33, 87.61, 85.98, 88.83, 87.64, 88.03, 88.63, 90.14, 90.10, 89.60, 86.45, 87.93, 88.17, 87.88, 92.18, 91.97, 90.30, 89.36, 90.15, 88.89, 87.78, 94.04, 88.52, 92.19, 90.51, 93.48, 87.70, 89.88, 90.21, 91.28, 88.37, 90.35, 86.67, 87.90, 95.36, 84.83, 89.17, 88.32, 89.27, 88.98, 94.05, 87.47, 87.08, 90.17, 87.09, 88.95, 84.45, 102.55, 99.13, 89.71, 85.84, 100.84, 88.88, 87.31, 88.36, 87.47
0.13, 103.62, 103.52, 101.97, 101.16, 100.66, 98.94, 98.18, 97.23, 96.90, 95.95, 95.40, 99.06, 94.16, 95.78, 93.48, 92.46, 94.91, 94.41, 92.91, 92.56, 93.64, 92.81, 91.81, 91.74, 89.55, 91.06, 90.12, 91.30, 93.11, 89.62, 92.43, 91.85, 90.44, 90.54, 89.28, 89.78, 90.92, 88.98, 88.89, 92.08, 88.49, 89.94, 86.67, 90.65, 88.76, 88.97, 87.08, 91.75, 89.55, 89.33, 88.39, 89.00, 87.82, 89.63, 89.61, 86.99, 96.69, 87.10, 88.56, 87.09, 88.01, 89.35, 90.72, 89.20, 89.40, 87.43, 85.98, 89.09, 87.42, 88.31, 88.90, 89.64, 90.03, 89.61, 86.61, 87.96, 87.96, 87.75, 92.05, 91.70, 90.52, 89.52, 89.95, 89.40, 87.87, 93.72, 88.30, 91.90, 90.73, 93.03, 87.73, 89.50, 89.95, 91.54, 88.60, 89.62, 86.58, 87.66, 94.74, 85.06, 89.34, 88.21, 89.50, 89.32, 94.05, 87.65, 87.18, 90.63, 86.56, 88.44, 84.54, 101.91, 99.17, 89.79, 85.82, 100.07, 88.09, 86.84, 88.34, 87.58
0.15, 104.46, 103.75, 102.03, 100.84, 100.67, 99.18, 98.52, 97.59, 97.39, 96.10, 95.41, 98.97, 94.11, 96.29, 93.86, 92.54, 95.04, 94.08, 93.24, 93.23, 93.81, 92.69, 91.98, 91.70, 89.90, 90.88, 90.33, 91.22, 92.37, 90.08, 92.00, 91.80, 90.10, 90.36, 89.46, 90.29, 91.04, 88.79, 88.65, 91.89, 88.42, 90.24, 86.39, 90.23, 88.66, 89.05, 87.01, 91.26, 89.74, 89.57, 88.07, 89.31, 87.98, 89.77, 89.66, 86.90, 96.77, 87.31, 88.40, 87.28, 88.24, 88.98, 90.97, 89.50, 90.02, 87.05, 86.52, 89.36, 87.50, 88.71, 88.38, 89.67, 89.46, 89.84, 86.12, 88.00, 87.54, 87.63, 91.83, 91.27, 90.18, 89.28, 89.94, 89.56, 88.59, 94.06, 88.15, 91.87, 90.52, 92.90, 87.82, 89.55, 90.65, 91.23, 88.92, 89.56, 86.58, 87.76, 94.40, 84.78, 88.56, 88.16, 89.65, 89.34, 93.96, 87.65, 86.71, 91.32, 86.77, 88.57, 84.50, 101.32, 99.23, 90.15, 85.58, 99.38, 87.98, 87.01, 88.48, 87.85
